rmse_I,rmse_Inc,rmse_Beta,r2,r2_Inc,r2_full,r2_Inc_full,time_predict,fraq_people,actual_peak_I,predicted_peak_I,actual_peak_Inc,predicted_peak_inc,actual_peak_day,predicted_peak_day,actual_peak_day_Inc,predicted_peak_day_inc
0.5,0.14433756729740643,6.441079510951113e-06,0.5711094564408041,0.31182795698924726,0.9087591240875912,0.47916666666666674,0.002996206283569336,4,10,5.0,1.0,1.0,1,4,4,4
0.30618621784789724,0.0,5.368874828765204e-06,0.7583216783216783,1.0,0.9553482833895615,1.0,0.0030066967010498047,4,10,4.0,0.0,0.0,1,4,1,4
1.0801234497346435,0.3679900360969936,6.698170763231119e-06,0.31270774737918683,-0.10736468500443674,0.6872469352992097,-0.1026293469041557,0.0020003318786621094,4,10,4.0,2.0,0.0,1,4,16,4
0.3679900360969936,0.10206207261596575,5.3748858348932065e-06,0.8419252691576948,-0.010526315789473939,0.9558108705258507,-0.010101010101010388,0.002000570297241211,4,10,5.0,1.0,0.0,1,4,8,4
0.2041241452319315,0.0,5.368874828765204e-06,0.717439293598234,1.0,0.9810704651933179,1.0,0.0020110607147216797,4,10,3.0,0.0,0.0,1,4,1,4
2.449489742783178,0.3535533905932738,5.359456037895019e-06,-1.5044612527741283,-0.7805255023183919,-0.23076923076923084,-0.5706806282722514,0.0022170543670654297,4,10,8.0,2.0,1.0,1,4,6,4
3.2210246816812815,0.5400617248673217,5.368874828765204e-06,-6.237057220708447,0.0,-1.9453513129879352,0.0,0.002000093460083008,4,10,9.0,0.0,2.0,1,98,1,97
5.5368086475875256,1.1273124382057236,5.368874828765204e-06,-69.50860993261787,0.0,-9.130460225121336,0.0,0.001996755599975586,4,10,17.0,0.0,4.0,1,99,1,98
4.352920475573459,0.8720187306856813,5.368874828765204e-06,-193.89285714285714,0.0,-11.580399751020119,0.0,0.002512216567993164,4,10,15.0,0.0,3.0,1,99,1,96
15.16849805792694,3.6199677714955785,7.185931216303229e-06,-222.1345890771335,-106.15882874889088,-95.12254667304927,-99.1592356687898,0.002000093460083008,4,10,52.0,2.0,13.0,1,99,8,99
