rmse_I,rmse_Inc,rmse_Beta,r2,r2_Inc,time_predict,fraq_people,actual_peak_I,predicted_peak_I,actual_peak_Inc,predicted_peak_inc,actual_peak_day,predicted_peak_day,actual_peak_day_Inc,predicted_peak_day_inc
5534.588758564587,1466.752097450884,0.00028070896934329217,-24858.47006974254,-20891.87146582691,0.0,0,105,13886.530260306488,38.0,5998.611110300026,9,12,6,10
5531.521279049291,1454.775758851013,0.00033348366767901264,-10734.220243087702,-10039.166569309426,0.0020210742950439453,0,171,16606.395283404116,55.0,7533.090794362397,10,11,8,9
5802.191720440277,1557.9679428056793,0.0003131461832982179,-8198.112396709637,-8390.406123963323,0.0,0,187,17319.315574061937,64.0,7924.488998081593,9,11,6,9
5975.891012931493,1466.547191221601,0.00026551162243866426,-8752.400015702216,-9143.962032381323,0.0,0,186,18511.062071319906,56.0,7595.653425692963,11,12,5,10
7232.411529250069,1898.5681741673757,0.00030048538210471887,-18854.20735581994,-15326.131553530857,0.0,0,162,19355.50849730228,57.0,8834.137203120688,7,11,7,9
6286.328318770331,1557.9999825337309,0.00031996663842793994,-6271.4141498733225,-6118.520261895027,0.0,0,273,21836.91983207791,78.0,9556.15389853423,9,11,8,9
6506.154891537827,1711.3225263438694,0.0003410683755850847,-5465.343915599075,-6136.522117225246,0.0,0,267,22137.91822714989,74.0,8383.551235749663,10,10,6,8
7165.874790003344,1986.6657649476176,0.00033782421012687025,-10366.246887503716,-12401.737365631398,0.0,0,212,23719.156115808684,64.0,11571.88354678162,10,10,4,8
7775.368849552665,2076.690511794607,0.0002440696382179523,-14612.179471606676,-17933.135325038646,0.0,0,221,25457.44041529086,62.0,11818.71055566262,11,11,5,9
7366.935289100964,1793.9933860093565,0.0002971362755504445,-5986.197123024794,-6234.5762542940465,0.0,0,316,27091.852452682597,90.0,10736.991403000007,9,10,6,9
8438.670262035019,2189.3851728029867,0.00038087141927577677,-3324.325300513219,-4209.946269823585,0.0,0,482,32170.88858533149,130.0,14991.22035833358,12,10,8,8
7698.394915537678,2050.2148843384875,0.0003440237737395625,-2893.4338005706813,-3980.516494639942,0.0,0,456,31959.21776797045,127.0,15343.114521276686,14,10,9,8
8910.15613546243,2261.5660717220717,0.00037069303205725687,-7722.626922330331,-8539.200700172412,0.0,0,319,36291.17252215904,94.0,16550.4361117651,14,10,4,8
7981.323122377341,1988.5499818234675,0.0003661010635573266,-5519.526125296905,-6525.60979566981,0.008035659790039062,0,396,38321.0874261493,103.0,17082.62408338797,13,10,6,8
8036.118596063197,1919.460443808628,0.0003723187311607602,-3086.103407923314,-3751.0046587506577,0.0,0,454,37577.15945080406,104.0,15808.270644366246,19,10,5,8
8604.181420704152,2187.768686451671,0.0003433413890515848,-1722.6228510793721,-2334.657661196281,0.002023458480834961,0,701,41741.10611936126,182.0,19011.859617335656,18,10,10,8
9004.948653437947,2295.961618419012,0.000334704732158188,-5993.443070965954,-8057.4741359624495,0.0,0,392,43280.03365130178,96.0,19826.99185090779,12,10,5,8
8495.444171570347,2028.1064968404746,0.0003525011386221834,-2165.9890737480937,-2556.827246765657,0.0,0,614,40818.24843981067,148.0,17066.972133117888,17,10,10,8
8212.075705952053,2275.3431721542356,0.0003952849700765828,-3222.569005377522,-4841.112374737094,0.0,0,534,39804.93556533818,141.0,20009.452687836005,16,9,5,7
10045.03498630534,2579.4286216170076,0.0004688711274834175,-400.38105784003574,-611.5661005255371,0.0,0,1594,48983.92604313464,330.0,22736.477854570243,44,9,41,7
10194.91584066605,2780.524799209302,0.0004100103233565211,-156.83250642173635,-271.8093644628591,0.0020225048065185547,0,2421,49886.14506184562,520.0,24569.088347197627,40,9,40,7
8901.406745544233,2513.1561107201164,0.00034832995198148705,-98.05011346296575,-188.16194167428029,0.0,0,2659,42966.606408566404,579.0,21778.25737865336,62,9,50,7
10873.056443960408,2801.6899579995843,0.00044657298689335144,-65.17203312169296,-102.72994018951543,0.0,0,3792,52971.206297378,817.0,24634.055201483134,45,9,41,7
11355.90781978371,2992.285231035815,0.0004254913508218559,-43.18406858508441,-71.91402536035169,0.008026838302612305,0,4982,55194.354721422955,1042.0,26277.859615022753,43,9,39,7
