rmse_I,rmse_Inc,rmse_Beta,r2,r2_Inc,time_predict,fraq_people,actual_peak_I,predicted_peak_I,actual_peak_Inc,predicted_peak_inc,actual_peak_day,predicted_peak_day,actual_peak_day_Inc,predicted_peak_day_inc
121.1243664653517,27.636881424913284,7.148502014888822e-06,-10.099914516050294,-7.355415324944287,0.0,4,105,179.89449986677732,38.0,37.5,9,41,6,5
2901.8955905203798,606.5473163040659,1.449441269257957e-05,-2792.263562047601,-1793.4559082595954,0.00202178955078125,4,171,4884.837194883007,55.0,1054.0707277063093,10,41,8,37
2459.7362793516463,525.5382608159533,1.1002092788633765e-05,-1395.2186963170443,-975.2692821893363,0.0,4,187,3950.637360049263,64.0,832.8895238357627,9,46,6,43
1453.1846193615268,319.49901953218927,8.451576628000285e-06,-494.4806472641331,-471.0178237007915,0.0,4,186,2460.583030438913,56.0,505.80208486106267,11,59,5,56
1329.253710535653,322.46198806943266,8.636970306375503e-06,-602.0241079344755,-488.470935811919,0.008025884628295898,4,162,2792.5477362343418,57.0,633.2300153603369,7,46,7,46
1840.3014025459013,378.18684284083815,8.060311107205616e-06,-515.9147729696756,-396.47579651592605,0.0,4,273,2825.922095004617,78.0,581.2695979275165,9,55,8,52
2650.445162829931,543.7353381899474,8.220635321168066e-06,-870.6590529161816,-686.1511654850569,0.002019166946411133,4,267,4356.08828051003,74.0,909.9340110303874,10,49,6,46
1388.5029796885133,302.5241352754978,5.363210137936477e-06,-374.89619635353375,-346.24419384768834,0.008034229278564453,4,212,2348.027724961959,64.0,478.3558233512076,10,68,4,64
1165.7434323833304,258.43831513748825,4.711113364656198e-06,-315.1386292604575,-295.9805932456778,0.0,4,221,2148.0819290226023,62.0,442.54534577029335,11,69,5,69
4521.417281302569,963.7183818976514,1.2134143740188164e-05,-2175.1226513183888,-1829.178944470294,0.0,4,316,10966.93997009982,90.0,2490.1146815319735,9,33,6,30
